NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,150,32,4,1,2023-03-17 14:02:34.952565,2023-03-17 15:10:31.558682,4076.6061170101166,67.94343528350194,awake,0.42448325968980755,0.9859715179303434,0.296168264363308,0.4555095742442309,0.12809378314538322,0.8518804641655353,"[[24785 462]
 [77166 32471]]",24785.0,462.0,77166.0,32471.0
LSTM,128,150,32,4,1,2023-03-17 14:02:34.952565,2023-03-17 15:10:31.558682,4076.6061170101166,67.94343528350194,asleep,0.42279291835947924,0.24086080568116056,0.9815725306791382,0.386806124377796,0.12668730651036342,0.8518166320571083,"[[32472 77395]
 [461 24556]]",32472.0,77395.0,461.0,24556.0
LSTM,128,150,32,4,1,2023-03-17 14:02:34.952565,2023-03-17 15:10:31.558682,4076.6061170101166,67.94343528350194,avg,0.4236380890246434,0.613416161805752,0.6388703975212231,0.4211578493110134,0.12739054482787332,0.8518485481113218,,,,,
LSTM,128,200,32,4,1,2023-03-17 15:10:32.324379,2023-03-17 16:43:53.307304,5600.982924938202,93.3497154156367,awake,0.42461670768957027,0.9843622394966879,0.2968340979778724,0.4561241222722113,0.1275111695331338,0.8365295822863295,"[[24730 517]
 [77093 32544]]",24730.0,517.0,77093.0,32544.0
LSTM,128,200,32,4,1,2023-03-17 15:10:32.324379,2023-03-17 16:43:53.307304,5600.982924938202,93.3497154156367,asleep,0.422926366359242,0.2406234347838897,0.9793740256625495,0.3863292336802271,0.1260999152422606,0.8353895847860782,"[[32545 77322]
 [516 24501]]",32545.0,77322.0,516.0,24501.0
LSTM,128,200,32,4,1,2023-03-17 15:10:32.324379,2023-03-17 16:43:53.307304,5600.982924938202,93.3497154156367,avg,0.4237715370244062,0.6124928371402888,0.638104061820211,0.42122667797621915,0.1268055423876972,0.8359595835362038,,,,,
LSTM,128,300,32,4,1,2023-03-17 16:43:54.066471,2023-03-17 19:04:31.754718,8437.688246965408,140.62813744942346,awake,0.5072580884315412,0.978796078605332,0.4025101015168237,0.5704387841497386,0.18379203980146175,0.8513165487069894,"[[24291 956]
 [65507 44130]]",24291.0,956.0,65507.0,44130.0
LSTM,128,300,32,4,1,2023-03-17 16:43:54.066471,2023-03-17 19:04:31.754718,8437.688246965408,140.62813744942346,asleep,0.5055529195456837,0.2679458339829395,0.9617859855298397,0.4191264207638375,0.1817336314897534,0.8500584598331764,"[[44130 65737]
 [956 24061]]",44130.0,65737.0,956.0,24061.0
LSTM,128,300,32,4,1,2023-03-17 16:43:54.066471,2023-03-17 19:04:31.754718,8437.688246965408,140.62813744942346,avg,0.5064055039886124,0.6233709562941357,0.6821480435233317,0.49478260245678807,0.18276283564560758,0.8506875042700829,,,,,
