NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MLP,12,3,32,120,20,0,2023-03-14 05:33:51.884019,2023-03-14 05:34:10.933325,19.0493061542511,0.31748843590418496,awake,0.29806436464493785,0.7692307692307693,0.0005224714991797197,0.0010442337412806483,9.10916109285731e-05,0.5000764475169044,"[[40572 15]
 [95649 50]]",40572.0,15.0,95649.0,50.0
MLP,12,3,32,120,20,0,2023-03-14 05:33:51.884019,2023-03-14 05:34:10.933325,19.0493061542511,0.31748843590418496,asleep,0.29806436464493785,0.2978395401590063,0.9996304235346293,0.4589385095697027,9.10916109285731e-05,0.5000764475169045,"[[50 95649]
 [15 40572]]",50.0,95649.0,15.0,40572.0
MLP,12,3,32,120,20,0,2023-03-14 05:33:51.884019,2023-03-14 05:34:10.933325,19.0493061542511,0.31748843590418496,avg,0.29806436464493785,0.5335351546948878,0.5000764475169045,0.2299913716554917,9.10916109285731e-05,0.5000764475169044,,,,,
MLP,12,3,32,120,20,1,2023-03-14 05:34:11.626488,2023-03-14 05:34:23.033936,11.407448053359985,0.1901241342226664,awake,0.30762514124708334,0.8194842406876791,0.01793122185184798,0.035094536418762076,0.005178772168066947,0.5043089474622533,"[[40209 378]
 [93983 1716]]",40209.0,378.0,93983.0,1716.0
MLP,12,3,32,120,20,1,2023-03-14 05:34:11.626488,2023-03-14 05:34:23.033936,11.407448053359985,0.1901241342226664,asleep,0.30762514124708334,0.2996378323596042,0.9906866730726588,0.46011248490951434,0.005178772168066947,0.5043089474622534,"[[1716 93983]
 [378 40209]]",1716.0,93983.0,378.0,40209.0
MLP,12,3,32,120,20,1,2023-03-14 05:34:11.626488,2023-03-14 05:34:23.033936,11.407448053359985,0.1901241342226664,avg,0.30762514124708334,0.5595610365236416,0.5043089474622534,0.24760351066413822,0.005178772168066947,0.5043089474622533,,,,,
MLP,12,3,32,120,20,2,2023-03-14 05:34:23.740206,2023-03-14 05:34:35.171705,11.431499004364014,0.19052498340606688,awake,0.33100978823943766,0.8707193183680157,0.05552827093282062,0.1043987347989234,0.02206388558394279,0.5180442744271613,"[[39798 789]
 [90385 5314]]",39798.0,789.0,90385.0,5314.0
MLP,12,3,32,120,20,2,2023-03-14 05:34:23.740206,2023-03-14 05:34:35.171705,11.431499004364014,0.19052498340606688,asleep,0.33100978823943766,0.3057081185715493,0.9805602779215019,0.46610060315043617,0.02206388558394279,0.5180442744271613,"[[5314 90385]
 [789 39798]]",5314.0,90385.0,789.0,39798.0
MLP,12,3,32,120,20,2,2023-03-14 05:34:23.740206,2023-03-14 05:34:35.171705,11.431499004364014,0.19052498340606688,avg,0.33100978823943766,0.5882137184697825,0.5180442744271613,0.2852496689746798,0.02206388558394279,0.5180442744271613,,,,,
MLP,12,3,32,120,20,3,2023-03-14 05:34:35.867378,2023-03-14 05:34:47.232396,11.365017890930176,0.18941696484883627,awake,0.3257414554686468,0.8785046728971962,0.046165581667520036,0.08772138829322532,0.018932811192140186,0.5155557501557103,"[[39976 611]
 [91281 4418]]",39976.0,611.0,91281.0,4418.0
MLP,12,3,32,120,20,3,2023-03-14 05:34:35.867378,2023-03-14 05:34:47.232396,11.365017890930176,0.18941696484883627,asleep,0.3257414554686468,0.30456280426948656,0.9849459186439008,0.4652591885663741,0.018932811192140186,0.5155557501557104,"[[4418 91281]
 [611 39976]]",4418.0,91281.0,611.0,39976.0
MLP,12,3,32,120,20,3,2023-03-14 05:34:35.867378,2023-03-14 05:34:47.232396,11.365017890930176,0.18941696484883627,avg,0.3257414554686468,0.5915337385833415,0.5155557501557104,0.2764902884297997,0.018932811192140186,0.5155557501557104,,,,,
MLP,12,3,32,120,20,4,2023-03-14 05:34:47.933917,2023-03-14 05:34:59.285363,11.35144591331482,0.18919076522191366,awake,0.3394185756423991,0.8793311036789297,0.06868410328216595,0.1274158218155737,0.02857499816099096,0.5232301192489377,"[[39685 902]
 [89126 6573]]",39685.0,902.0,89126.0,6573.0
MLP,12,3,32,120,20,4,2023-03-14 05:34:47.933917,2023-03-14 05:34:59.285363,11.35144591331482,0.18919076522191366,asleep,0.3394185756423991,0.308087042255708,0.9777761352157095,0.46854154122244657,0.02857499816099096,0.5232301192489377,"[[6573 89126]
 [902 39685]]",6573.0,89126.0,902.0,39685.0
MLP,12,3,32,120,20,4,2023-03-14 05:34:47.933917,2023-03-14 05:34:59.285363,11.35144591331482,0.18919076522191366,avg,0.3394185756423991,0.5937090729673189,0.5232301192489377,0.29797868151901014,0.02857499816099096,0.5232301192489377,,,,,
MLP,12,3,32,120,20,5,2023-03-14 05:34:59.983369,2023-03-14 05:35:11.466251,11.482881784439087,0.1913813630739848,awake,0.34648459856478286,0.8795194508009153,0.08032476828389011,0.14720554582100553,0.03363193079209925,0.527190250207434,"[[39534 1053]
 [88012 7687]]",39534.0,1053.0,88012.0,7687.0
MLP,12,3,32,120,20,5,2023-03-14 05:34:59.983369,2023-03-14 05:35:11.466251,11.482881784439087,0.1913813630739848,asleep,0.34648459856478286,0.3099587599767927,0.9740557321309778,0.47027055961649405,0.03363193079209925,0.5271902502074339,"[[7687 88012]
 [1053 39534]]",7687.0,88012.0,1053.0,39534.0
MLP,12,3,32,120,20,5,2023-03-14 05:34:59.983369,2023-03-14 05:35:11.466251,11.482881784439087,0.1913813630739848,avg,0.34648459856478286,0.594739105388854,0.5271902502074339,0.30873805271874977,0.03363193079209925,0.5271902502074339,,,,,
MLP,12,3,32,120,20,6,2023-03-14 05:35:12.162276,2023-03-14 05:35:23.467956,11.3056800365448,0.18842800060908,awake,0.333005591183247,0.879689726135824,0.058067482418834054,0.10894369510664995,0.024075501981878578,0.5196711374200264,"[[39827 760]
 [90142 5557]]",39827.0,760.0,90142.0,5557.0
