NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,1,32,120,20,0,2023-03-14 00:28:22.399150,2023-03-14 00:29:14.437384,52.03823399543762,0.8673038999239604,awake,0.29862344256761714,0.0,0.0,0.0,0.0,0.5,"[[40697 0]
 [95585 0]]",40697.0,0.0,95585.0,0.0
LSTM,128,1,32,120,20,0,2023-03-14 00:28:22.399150,2023-03-14 00:29:14.437384,52.03823399543762,0.8673038999239604,asleep,0.29692842781878753,0.29692842781878753,1.0,0.45789485595310836,0.0,0.5,"[[0 95816]
 [0 40466]]",0.0,95816.0,0.0,40466.0
LSTM,128,1,32,120,20,0,2023-03-14 00:28:22.399150,2023-03-14 00:29:14.437384,52.03823399543762,0.8673038999239604,avg,0.29777593519320233,0.14846421390939377,0.5,0.22894742797655418,0.0,0.5,,,,,
LSTM,128,1,32,120,20,1,2023-03-14 00:29:15.124864,2023-03-14 00:29:57.113727,41.98886299133301,0.6998143831888834,awake,0.3039432940520392,0.8557409224730128,0.009122770309148926,0.018053082688087453,0.0033054469772575423,0.5027553552260786,"[[40550 147]
 [94713 872]]",40550.0,147.0,94713.0,872.0
LSTM,128,1,32,120,20,1,2023-03-14 00:29:15.124864,2023-03-14 00:29:57.113727,41.98886299133301,0.6998143831888834,asleep,0.3022482793032095,0.2980785580683557,0.9963673207136856,0.4588770208673582,0.0032613538380950047,0.5027340486009775,"[[872 94944]
 [147 40319]]",872.0,94944.0,147.0,40319.0
LSTM,128,1,32,120,20,1,2023-03-14 00:29:15.124864,2023-03-14 00:29:57.113727,41.98886299133301,0.6998143831888834,avg,0.3030957866776244,0.5769097402706842,0.5027450455114173,0.23846505177772284,0.0032834004076762735,0.502744701913528,,,,,
LSTM,128,1,32,120,20,2,2023-03-14 00:29:57.799302,2023-03-14 00:30:39.953414,42.15411186218262,0.702568531036377,awake,0.31381253577141516,0.8532423208191127,0.026154731390908615,0.05075369233111709,0.009426767666111613,0.5077944210066565,"[[40267 430]
 [93085 2500]]",40267.0,430.0,93085.0,2500.0
LSTM,128,1,32,120,20,2,2023-03-14 00:29:57.799302,2023-03-14 00:30:39.953414,42.15411186218262,0.702568531036377,asleep,0.3121175210225855,0.30022796808446817,0.9893737952849305,0.4606657538344705,0.009299775765212015,0.5077327354983557,"[[2500 93316]
 [430 40036]]",2500.0,93316.0,430.0,40036.0
LSTM,128,1,32,120,20,2,2023-03-14 00:29:57.799302,2023-03-14 00:30:39.953414,42.15411186218262,0.702568531036377,avg,0.31296502839700036,0.5767351444517904,0.5077642633379196,0.25570972308279377,0.009363271715661814,0.5077635782525061,,,,,
LSTM,128,1,32,120,20,3,2023-03-14 00:30:40.645188,2023-03-14 00:31:22.464949,41.81976079940796,0.696996013323466,awake,0.3242467824070677,0.8694456199746086,0.0429879165140974,0.08192521258884868,0.016957321068648334,0.5139135469245181,"[[40080 617]
 [91476 4109]]",40080.0,617.0,91476.0,4109.0
